PRICE,DISCOUNT_AMT,STD_DISCOUNT_AMT,AMT,QTY,age,std_age,educ,size_hh,income_cat,income_est,std_income_est,Min_TIER,TENURE,std_TENURE,sales_pcnt,spring_pcnt,fall_pcnt,holiday_pcnt,sales_prop,spring_prop,fall_prop,holiday_prop,std_sales_prop,std_spring_prop,std_fall_prop,std_holiday_prop,bts_pcnt,bts_prop,clearance_pcnt,std_bts_prop,std_clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,std_WEB,std_PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,pcnt_m_prod,pcnt_w_prod,prop_m_prod,prop_f_prod,std_prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,std_product_cat_count,std_em_rcvd,std_dm_rcvd,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,std_timeuntil_2,std_timeuntil_3,std_timeuntil_4,std_timeuntil_5,std_up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,std_EDUC_YEARS,std_LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
21.71428571,-18.48,0.347699251,152,7,17,-1.517910626,3,3,45k-65k,55,-0.443413637,2,525,-0.785411242,0.228,0.299,0.473,0,0.23,0.3,0.47,0,0.039530275,-0.002430496,0.594980913,-0.666278948,0,0,0.03,-0.305775062,-0.426866304,1,0,5,-0.429593756,0.37366374,0,0,0,0,0,0,0.248,0.473,0,0.177,0,1,0,1,0.864570794,2,5,82,3,-0.165728714,-0.325599938,-0.394623518,0,1,0,153,22,,,3,-0.022236586,-0.63852142,,,0.076787774,1,0,0,0,0,0,0,0,0,18,1,29,1.04892557,1.557407091,6,2.2328213311
21.74571429,0,0.48206963,152.22,7,17,-1.517910626,1,2,gt125k,135,1.97525394,2,1271,1.325818372,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.24,-0.305775062,0.566479964,1,0,3,-0.429593756,-0.497204335,0,0,0,0,0,0.06,0.079,0,0,0.862,0,1,0,1,0.864570794,2,5,20,4,-0.165728714,-1.106944923,-0.166513302,0,1,0,183,197,,,3,0.127191148,0.380227368,,,0.076787774,1,0,0,0,0,0,0,0,0,16,1,23,0.172498868,0.93819917,4,3.4974374505
21.75714286,-51.05,0.110878728,152.3,7,37,0.578438824,3,2,45k-65k,55,-0.443413637,2,634,-0.476933992,0.639,0,0,0.361,0.64,0,0,0.36,1.317373049,-0.834975019,-0.743819183,0.420654666,0,0,0,-0.305775062,-0.568772913,1,0,4,-0.429593756,-0.061770298,0,0,0.639,0,0,0,0,0,0.197,0,0.803,0.197,0.8,0.2,-0.949239129,2,4,7,10,-0.537703497,-1.270775322,1.202147991,1,0,0,,,,,1,,,,,-1.191974174,0,0,0,0,0,0,0,0,1,14,1,14,-0.703927834,0.009387289,1,2.399998714
21.79571429,-116.78,-0.367052281,152.57,7,37,0.578438824,1,3,45k-65k,55,-0.443413637,2,1336,1.509772695,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0,-0.305775062,-0.568772913,0.75,0.25,5,0.555483674,0.37366374,0,0,0,0,0.238,0,0.229,0,0.337,0,0.196,0.804,0.2,0.8,0.411118313,2,7,174,3,0.578220853,0.833815199,-0.394623518,1,0,0,4,9,16,,4,-0.764394333,-0.714199901,-0.663670685,,0.711168748,0,0,0,0,0,0,0,0,1,14,1,22,-0.703927834,0.83499785,3,3.0536938903
21.86714286,-64.26,0.014827175,153.07,7,37,0.578438824,1,2,45k-65k,55,-0.443413637,2,203,-1.696692657,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0.834,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,3,138,2,-0.90967828,0.380131015,-0.622733733,1,0,0,8,,,,2,-0.744470635,,,,-0.5575932,0,0,0,0,0,0,0,1,0,12,1,37,-1.580354536,2.383017652,2,3.2377109133
21.87857143,-22.5,0.318469331,153.15,7,37,0.578438824,2,3,45k-65k,55,-0.443413637,2,1093,0.822066534,0.147,0.853,0,0,0.15,0.85,0,0,-0.2098049,1.523901129,-0.743819183,-0.666278948,0,0,0.17,-0.305775062,0.235364541,1,0,5,-0.429593756,0.37366374,0,0,0,0,0,0.274,0.129,0,0,0.45,0,1,0,1,0.864570794,2,5,24,2,-0.165728714,-1.056535569,-0.622733733,1,0,0,427,,,,2,1.34253672,,,,-0.5575932,1,0,0,0,0,0,0,0,0,18,1,5,1.04892557,-0.919424593,2,2.805787767
21.88,-49.95,0.118876965,153.16,7,17,-1.517910626,2,2,45k-65k,55,-0.443413637,2,666,-0.386371864,0,0.794,0,0.206,0,0.79,0,0.21,-0.677308354,1.357392225,-0.743819183,-0.03223434,0,0,0,-0.305775062,-0.568772913,0.667,0.333,2,0.88252938,-0.932638373,0,0.948,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,2,176,5,-1.281653063,0.859019876,0.061596913,0,1,0,18,,,,2,-0.69466139,,,,-0.5575932,0,0,0,0,0,0,0,1,0,12,0,46,-1.580354536,3.311829534,2,3.3754900811
21.94714286,-16.18,0.364422837,153.63,7,37,0.578438824,2,2,45k-65k,55,-0.443413637,2,1229,1.206955579,0.228,0.176,0.597,0,0.23,0.18,0.6,0,0.039530275,-0.335448305,0.965287322,-0.666278948,0.597,0.6,0.07,2.810969215,-0.237657491,1,0,4,-0.429593756,-0.061770298,0,0,0,0,0,0,0.065,0,0.163,0.772,0,1,0,1,0.864570794,2,5,172,3,-0.165728714,0.808610523,-0.394623518,0,0,0,619,483,39,47,5,2.29887422,2.045153957,-0.514011542,-0.407866571,1.345549722,0,0,1,0,0,0,0,0,0,18,1,32,1.04892557,1.867011052,2,4.0460703609
22.04571429,-94.3,-0.203597403,154.32,7,37,0.578438824,1,,45k-65k,55,-0.443413637,2,836,0.094739442,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0.305,0.31,0.13,1.304542814,0.046155728,0.75,0.25,6,0.555483674,0.809097778,0,0,0,0,0,0,0.236,0,0.071,0.165,0,1,0,1,0.864570794,2,7,176,4,0.578220853,0.859019876,-0.166513302,0,0,0,96,337,337,1,5,-0.306149281,1.195226397,1.425050391,-0.713346191,1.345549722,0,0,0,0,0,0,0,0,1,16,0,21,0.172498868,0.73179653,6,3.1085188407
22.1,-98.6,-0.234863238,154.7,7,37,0.578438824,2,2,45k-65k,55,-0.443413637,2,672,-0.369391465,0.452,0,0,0.548,0.45,0,0,0.55,0.725202008,-0.834975019,-0.743819183,0.994314074,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0.438,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,3,139,7,-0.90967828,0.392733354,0.517817344,0,0,0,,,,,1,,,,,-1.191974174,0,0,0,1,0,0,0,0,0,14,1,1,-0.703927834,-1.332229873,1,2.2335630691
