PRICE,DISCOUNT_AMT,AMT,QTY,age,educ,size_hh,income_cat,income_est,Min_TIER,TENURE,sales_prop,spring_prop,fall_prop,holiday_prop,bts_prop,clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,prop_m_prod,prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
19.95,0,19.95,1,17,1,1,65k-85k,75,2,986,0,0,0,1,0,0.66,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,179,3,1,1,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,8,1,4.457998702
19.97,0,19.97,1,37,1,1,65k-85k,75,2,896,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,25,0,0,0,0,,,,,1,0,0,0,0,0,1,0,0,0,14,1,11,1,2.655032097
20,0,20,1,17,1,1,65k-85k,75,2,999,0,0,0,1,0,0.62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,169,2,0,1,0,,,,,1,0,0,0,0,0,1,0,0,0,16,1,16,1,4.294222371
20.96,0,20.96,1,37,1,1,65k-85k,75,2,852,0,0,0,1,0,0.46,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,178,4,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,11,1,3.445939645
20.99,0,20.99,1,37,1,1,65k-85k,75,2,951,0,0,1,0,0,0.09,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,6,9,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,16,1,22,1,3.624918901
22.45,0,22.45,1,37,1,1,65k-85k,75,2,1216,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,23,3,0,0,0,783,,,,2,0,0,0,1,0,0,0,0,0,14,1,22,1,3.542216588
22.45,0,22.45,1,37,1,1,65k-85k,75,2,1197,0,0,0,1,0,0.52,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,5,63,5,0,0,0,,,,,1,0,0,0,1,0,0,0,0,0,18,1,13,1,3.610813266
23.92,-5.98,23.92,1,37,1,2,45k-65k,55,2,1192,1,0,0,0,0,0.14,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,1091,,,,2,0,0,1,0,0,0,0,0,0,18,1,11,1,4.778559767
23.99,0,23.99,1,37,1,2,65k-85k,75,2,1349,,,,,,0.09,1,0,2,0,0,0,0,0,0,0,0,0,0,,,2,11,0,0,0,0,0,165,25,30,139,5,0,0,0,1,0,0,0,0,0,18,0,7,1,3.339032118
24.9,-15,24.9,1,37,1,1,45k-65k,55,2,1310,1,0,0,0,0,0.41,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,4,10,3,0,0,0,504,,,,2,1,0,0,0,0,0,0,0,0,16,1,32,1,3.525822243
24.9,-15,24.9,1,37,1,2,45k-65k,55,2,904,0,0,0,1,0,0.09,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,5,183,7,0,0,0,138,,,,2,0,0,0,0,0,0,0,0,1,14,1,16,1,2.945836116
24.9,0,24.9,1,37,1,1,65k-85k,75,2,1053,0,0,1,0,0,0.07,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,4,169,0,0,0,0,147,88,,,3,1,0,0,0,0,0,0,0,0,16,1,3,1,3.565042154
24.95,-24.95,24.95,1,17,1,1,45k-65k,55,2,1348,0,0,0,1,0,0.44,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,6,10,3,0,1,0,54,371,,,3,1,0,0,0,0,0,0,0,0,18,1,16,1,4.420477601
24.95,-24.95,24.95,1,37,1,2,45k-65k,55,2,1015,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,9,0,0,0,0,,,,,1,0,0,0,1,0,0,0,0,0,12,0,3,1,2.838965936
24.95,-24.95,24.95,1,37,1,2,45k-65k,55,2,792,0,0,0,1,0,0.72,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,3,0,0,0,122,,,,2,0,1,0,0,0,0,0,0,0,16,1,8,1,4.393902145
24.95,0,24.95,1,37,1,1,65k-85k,75,2,1336,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,98,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,16,1,2.939348492
24.95,0,24.95,1,37,1,1,lt25k,12.5,2,1220,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,5,23,4,0,0,0,,,,,1,0,0,0,0,0,0,0,0,1,14,1,28,1,3.874228343
24.95,0,24.95,1,17,1,1,,,2,1011,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,9,175,9,1,1,0,1,5,78,24,5,1,0,0,0,0,0,0,0,0,14,0,0,1,4.184866544
24.95,0,24.95,1,17,1,1,65k-85k,75,2,1008,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,171,3,0,1,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,1,1,3.409465569
24.97,0,24.97,1,46,1,1,65k-85k,75,2,1067,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,5,173,1,0,0,0,892,,,,2,0,0,1,0,0,0,0,0,0,18,0,1,1,4.797441272
25.41,-4.49,25.41,1,37,1,2,45k-65k,55,2,944,0,0,1,0,0,0.34,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,4,9,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,3,1,3.928619588
27.47,0,27.47,1,17,1,1,65k-85k,75,2,1006,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,4,30,0,0,1,0,723,,,,2,0,0,0,0,1,0,0,0,0,9,0,17,1,3.669673084
28.69,0,28.69,1,37,1,1,65k-85k,75,2,1100,0,0,0,1,0,0.13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,172,5,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,24,1,2.866288582
29.9,0,29.9,1,37,1,1,65k-85k,75,2,1256,0,0,0,1,0,0.17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,9,3,1,0,0,16,487,,,3,1,0,0,0,0,0,0,0,0,16,0,13,1,3.954755832
